model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.050938
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.078542
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.108819
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.139484
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.175946
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.222731
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.270000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.190625
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.270585
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.343220
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.405131
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.463173
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.517359
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.570000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.405000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.568358
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.698020
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.788823
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.857208
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.899901
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.920000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.055156
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.084563
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.115937
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.146471
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.178904
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.213153
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.240000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.179531
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.256959
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.331461
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.395522
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.449312
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.496040
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.540000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.412500
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.569955
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.690912
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.771426
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.831188
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.879961
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.910000
